max_temp,min_temp,avg_temp,max_wind,total_precip,total_snow,avg_visibility,avg_humidity,condition,uv_index
37.2,23.0,29.8,13.9,0.2,0.0,10.0,43,6,8.0
38.5,24.6,30.6,20.5,0.0,0.0,10.0,41,7,9.0
39.8,25.1,31.5,18.4,0.0,0.0,10.0,38,7,9.0
39.4,25.7,31.0,22.7,0.0,0.0,10.0,37,7,9.0
39.5,25.6,31.1,16.9,0.7,0.0,10.0,38,6,8.0
37.8,25.6,30.1,13.7,2.9,0.0,9.9,36,0,8.0
38.6,24.5,30.2,16.9,0.9,0.0,9.9,38,3,8.0
39.2,25.1,31.0,16.2,0.0,0.0,10.0,38,7,9.0
40.1,25.4,31.7,19.8,0.0,0.0,10.0,37,7,10.0
40.5,25.1,31.2,24.2,0.0,0.0,10.0,43,7,10.0
38.8,24.3,29.7,21.6,0.2,0.0,10.0,47,6,8.0
38.1,22.3,29.3,24.2,0.2,0.0,10.0,41,6,8.0
37.1,21.4,28.1,24.0,0.0,0.0,10.0,43,7,9.0
37.1,20.4,27.7,21.4,0.0,0.0,10.0,47,7,9.0
37.9,20.1,28.0,23.9,0.0,0.0,10.0,51,7,9.0
37.5,20.6,27.9,24.5,0.0,0.0,10.0,48,7,9.0
36.3,20.5,27.3,21.8,0.0,0.0,10.0,53,7,9.0
37.0,20.7,28.1,20.2,0.0,0.0,10.0,48,5,9.0
36.4,22.3,28.3,22.5,0.0,0.0,10.0,43,5,9.0
35.3,21.7,27.7,21.6,3.1,0.0,10.0,49,0,8.0
36.0,21.3,27.6,23.8,0.8,0.0,10.0,45,3,8.0
36.4,20.3,27.1,24.3,0.0,0.0,10.0,54,5,9.0
35.3,20.0,26.6,24.2,0.0,0.0,10.0,58,5,9.0
34.4,20.5,26.6,21.3,0.0,0.0,10.0,59,5,8.0
35.4,20.6,27.0,23.0,0.0,0.0,10.0,58,5,9.0
37.0,20.7,27.3,25.9,0.0,0.0,10.0,59,5,9.0
35.7,21.4,27.3,20.5,0.0,0.0,10.0,63,5,8.0
34.0,21.2,26.6,21.2,1.0,0.0,9.9,68,6,7.0
34.0,23.0,26.4,17.6,10.0,0.0,9.9,72,0,7.0
33.2,24.0,27.2,15.8,12.4,0.0,9.8,66,0,7.0
36.4,24.6,29.6,16.1,0.7,0.0,10.0,57,6,8.0
38.5,24.2,30.1,20.9,0.0,0.0,10.0,55,7,9.0
38.1,23.1,29.2,25.1,0.0,0.0,10.0,57,7,9.0
36.6,23.2,28.6,26.8,0.4,0.0,10.0,59,6,8.0
36.8,22.6,28.8,24.1,0.0,0.0,10.0,57,5,9.0
36.3,22.6,28.4,22.5,0.0,0.0,10.0,57,5,9.0
37.4,21.5,28.7,20.9,0.0,0.0,10.0,55,5,9.0
39.2,21.9,29.8,22.9,0.0,0.0,10.0,52,5,9.0
40.1,22.7,30.3,24.9,0.0,0.0,10.0,51,7,10.0
39.9,22.5,30.2,28.3,0.0,0.0,10.0,52,7,9.0
38.9,23.3,29.7,26.8,0.1,0.0,10.0,55,6,8.0
39.0,22.5,29.3,28.8,0.0,0.0,10.0,54,7,9.0
39.7,23.6,30.0,27.0,0.0,0.0,10.0,53,7,9.0
39.8,24.7,30.4,24.0,0.2,0.0,10.0,50,6,8.0
36.9,23.0,28.6,23.6,2.1,0.0,9.8,55,0,8.0
35.2,22.8,27.8,24.8,0.5,0.0,10.0,59,6,8.0
35.9,22.1,27.9,23.3,0.0,0.0,10.0,59,5,9.0
36.2,22.0,28.0,24.8,0.0,0.0,10.0,57,5,9.0
36.8,22.2,28.6,20.4,0.3,0.0,10.0,59,6,8.0
39.4,22.2,30.0,19.8,0.1,0.0,10.0,56,6,8.0
37.9,24.7,29.8,16.6,1.8,0.0,9.8,57,0,8.0
37.1,24.6,29.2,24.2,2.5,0.0,9.7,60,4,8.0
37.6,23.7,28.9,20.5,1.5,0.0,9.9,61,0,8.0
37.8,22.2,28.8,25.0,0.1,0.0,10.0,57,6,8.0
38.1,22.5,29.2,24.1,0.4,0.0,10.0,59,6,8.0
35.7,23.1,28.5,23.1,4.8,0.0,9.7,63,0,8.0
35.3,23.2,28.4,24.5,1.7,0.0,9.9,64,3,8.0
36.4,23.8,28.3,25.9,2.9,0.0,9.7,65,0,8.0
36.3,23.0,28.5,24.8,0.7,0.0,10.0,60,3,8.0
35.4,23.5,28.3,25.2,0.8,0.0,10.0,63,3,8.0
35.5,22.9,27.9,26.6,1.1,0.0,10.0,66,3,8.0
32.0,23.3,27.2,25.8,3.1,0.0,9.9,67,0,7.0
32.4,24.2,27.4,27.0,2.7,0.0,10.0,61,0,7.0
34.3,23.1,27.6,31.3,0.0,0.0,10.0,65,5,7.0
32.9,23.5,27.4,31.3,0.0,0.0,10.0,66,5,7.0
32.3,23.0,26.9,30.6,0.8,0.0,10.0,69,6,7.0
32.4,22.9,26.9,29.6,1.4,0.0,10.0,68,3,7.0
32.6,23.1,27.3,33.1,0.5,0.0,10.0,65,5,8.0
32.0,23.0,27.0,28.4,0.8,0.0,10.0,67,6,7.0
31.0,23.6,26.7,29.2,2.0,0.0,10.0,69,0,7.0
32.9,22.3,27.4,26.3,0.0,0.0,10.0,65,5,7.0
34.5,22.5,27.7,24.7,0.0,0.0,10.0,63,5,8.0
34.7,23.0,27.8,25.6,0.0,0.0,10.0,63,5,8.0
32.7,23.0,26.9,27.0,2.7,0.0,10.0,66,0,7.0
30.9,23.2,26.3,25.9,1.2,0.0,10.0,69,6,7.0
29.3,23.0,25.5,23.0,4.6,0.0,10.0,69,0,6.0
28.4,22.4,24.8,27.4,4.5,0.0,9.7,71,3,6.0
26.6,22.8,24.0,24.5,3.1,0.0,9.8,81,3,6.0
26.3,22.9,24.3,25.9,3.0,0.0,10.0,79,6,6.0
25.0,22.9,23.7,22.0,22.8,0.0,9.1,83,0,6.0
26.1,22.0,23.7,24.6,13.1,0.0,9.9,83,0,6.0
25.2,22.1,23.2,28.8,22.8,0.0,9.9,85,0,6.0
27.0,22.5,24.2,29.9,8.2,0.0,10.0,84,0,6.0
27.4,22.6,24.4,28.8,6.7,0.0,10.0,82,3,6.0
27.8,22.9,24.7,24.8,2.3,0.0,10.0,82,6,6.0
26.5,22.9,24.1,21.6,64.0,0.0,10.0,85,0,6.0
23.6,22.2,22.8,25.6,18.0,0.0,8.3,91,0,5.0
23.1,21.7,22.2,25.6,25.63,0.0,7.9,92,0,5.0
23.2,21.9,22.7,28.1,39.6,0.0,8.6,91,0,5.0
25.2,22.2,23.4,30.2,9.6,0.0,10.0,88,3,6.0
25.9,22.3,23.7,27.0,4.4,0.0,10.0,87,6,6.0
27.5,21.6,24.0,24.1,1.7,0.0,10.0,83,6,6.0
27.6,21.2,24.3,26.6,1.0,0.0,10.0,77,6,6.0
28.2,22.2,24.3,23.8,2.4,0.0,10.0,80,6,6.0
26.3,21.5,23.5,21.6,9.1,0.0,10.0,82,0,6.0
